,file,name,status,date_signed,date_into_force,date_notification,end_implementation,partyisocode,composition,region,parties_wto,crossregional,language,chapter_count,article_count,word_count,average_WxA
60,pta_434.xml,Ukraine - Montenegro,In Force,2011-11-18,2013-01-01,2013-04-25,2013-12-31,"['UKR', 'MNE']",Bilateral,Europe; Commonwealth of Independent States (CIS),Yes,Yes,en,8,62,7359,118.69354838709677
61,pta_408.xml,"Hong Kong, China - Chile",In Force,2012-12-07,2014-10-09,2014-10-15,2016-12-30,"['CHL', 'HKG']",Bilateral,South America; East Asia,Yes,Yes,en,21,172,26036,151.37209302325581
62,pta_232.xml,EC - Romania Interim Agreement,Inactive,1993-02-01,1993-05-01,1994-12-23,,"['ESP', 'PRT', 'BEL', 'IRL', 'NLD', 'DEU', 'LUX', 'DNK', 'FRA', 'GBR', 'ITA', 'ROU', 'GRC', None]",Plurilateral,Europe,Yes,No,en,8,53,5146,97.09433962264151
63,pta_226.xml,EC - Malta Association Agreement,Inactive,1970-12-05,1971-04-01,1971-03-24,,"['BEL', 'NLD', 'DEU', 'LUX', 'FRA', 'ITA', 'MLT', None]",Plurilateral,Europe,Yes,No,en,4,20,1442,72.1
64,pta_222.xml,EC - Israel Agreement of 1970,Inactive,1970-06-29,1970-10-01,1970-09-07,,"['BEL', 'NLD', 'DEU', 'LUX', 'FRA', 'ITA', None, 'ISR']",Plurilateral,Europe; Middle East,Yes,Yes,en,4,23,1371,59.608695652173914
65,pta_236.xml,EC - Slovenia Interim Agreement,Inactive,1996-11-11,1997-01-01,1996-12-12,,"['SVN', 'ESP', 'PRT', 'BEL', 'IRL', 'NLD', 'DEU', 'LUX', 'DNK', 'FRA', 'GBR', 'ITA', None, 'GRC']",Plurilateral,Europe,Yes,No,en,8,52,5589,107.48076923076923
66,pta_430.xml,Russian Federation - Serbia,In Force,2000-08-28,2006-06-03,2012-12-21,2010-12-31,"['SRB', 'RUS']",Bilateral,Commonwealth of Independent States (CIS); Europe,No,Yes,en,3,23,2339,101.69565217391305
67,pta_356.xml,Ukraine - Former Yugoslav Republic of Macedonia,In Force,2001-01-18,2001-07-05,2008-08-18,2010-12-31,"['UKR', 'MKD']",Bilateral,Europe; Commonwealth of Independent States (CIS),Yes,Yes,en,5,39,4249,108.94871794871794
68,pta_342.xml,US - Colombia,In Force,2006-11-22,2012-05-15,2012-05-08,2030-12-31,"['USA', 'COL']",Bilateral,South America; North America,Yes,Yes,en,25,282,74206,263.1418439716312
69,pta_424.xml,Russian Federation - Tajikistan,Inactive,1992-10-10,1993-04-08,2012-09-13,1993-12-31,"['RUS', 'TJK']",Bilateral,Commonwealth of Independent States (CIS),Yes,No,en,3,21,1768,84.19047619047619
70,pta_418.xml,Turkey - Mauritius,In Force,2011-09-09,2013-06-01,2013-05-30,2022-12-31,"['TUR', 'MUS']",Bilateral,Africa; Europe,Yes,Yes,en,7,38,5125,134.8684210526316
71,pta_395.xml,EU - Colombia and Peru,In Force,2012-06-26,2013-03-01,2013-02-26,2031-12-31,"['COL', 'ESP', 'PER', 'CYP', 'DEU', 'CZE', 'SVK', 'SWE', 'AUT', 'ROU', 'HUN', 'ECU', 'EST', 'BGR', 'LTU', 'LUX', 'DNK', 'FRA', 'GBR', 'MLT', 'SVN', 'PRT', 'BEL', 'IRL', 'NLD', 'FIN', 'POL', 'HRV', 'ITA', 'GRC', 'LVA']",Plurilateral; One Party is an RTA,Europe; South America,Yes,Yes,en,38,339,61326,180.90265486725664
72,pta_381.xml,Colombia - Mexico,In Force,1994-06-13,1995-01-01,2010-09-13,2020-12-30,"['MEX', 'COL']",Bilateral,South America; North America,Yes,Yes,es,24,331,68384,206.59818731117824
73,pta_154.xml,EFTA - Peru,In Force,2010-06-24,2011-07-01,2011-06-30,2027-12-31,"['ISL', 'PER', 'CHE', 'LIE', 'NOR']",Bilateral; One Party is an RTA,Europe; South America,Yes,Yes,en,15,136,22579,166.02205882352942
74,pta_140.xml,EU - Montenegro,In Force,2007-10-15,2008-01-01,2008-01-16,2013-12-31,"['ESP', 'CYP', 'DEU', 'CZE', 'SVK', 'SWE', 'AUT', 'ROU', 'HUN', 'EST', 'BGR', 'LTU', 'LUX', 'DNK', 'FRA', 'GBR', 'MLT', 'SVN', 'PRT', 'BEL', 'IRL', 'NLD', 'FIN', 'POL', 'HRV', 'ITA', 'GRC', 'LVA', 'MNE']",Bilateral; One Party is an RTA,Europe,Yes,No,en,8,62,8583,138.43548387096774
75,pta_168.xml,Albania - Moldova,Inactive,2003-11-13,2004-11-01,2004-12-20,,"['ALB', 'MDA', None]",Bilateral,Europe; Commonwealth of Independent States (CIS),Yes,Yes,en,5,41,5202,126.8780487804878
76,pta_197.xml,Czech Republic - Bulgaria Free Trade Agreement,Inactive,1995-12-15,1996-06-07,1997-05-29,,"['BGR', None, 'CZE']",Bilateral,Europe,Yes,No,en,5,41,4604,112.29268292682927
77,pta_30.xml,Turkey - Palestinian Authority,In Force,2004-07-20,2005-06-01,2005-09-01,2005-12-31,"['TUR', 'PSE']",Bilateral,Middle East; Europe,No,Yes,en,7,54,5495,101.75925925925925
78,pta_24.xml,"Korea, Republic of - Singapore",In Force,2005-08-04,2006-03-02,2006-02-21,2016-12-30,"['SGP', 'KOR']",Bilateral,East Asia,Yes,No,en,24,215,39074,181.73953488372092
79,pta_183.xml,Bulgaria - Slovak Republic Free Trade Agreement,Inactive,1995-12-08,1996-03-11,1997-05-29,,"['SVK', 'BGR', None]",Bilateral,Europe,Yes,No,en,5,41,4640,113.17073170731707
80,pta_18.xml,Costa Rica - Mexico,Inactive,1994-04-05,1995-01-01,2006-07-17,2009-12-31,"['CRI', 'MEX']",Bilateral,Central America; North America,Yes,Yes,es,21,302,72945,241.53973509933775
